gene_id	CD-PTKO_18_27m_vs_CD-PTWT_18_27m	CD_PTWT_16m_vs_CD_PTWT_6m	CD_PTWT_6m_vs_WD_PTWT_6m	CD_PTWT_18_27m_vs_CD_PTWT_6m	CD_PTWT_18_27m_vs_WD_PTWT_18_27m	WD-PTKO_18_27m_vs_CD-PTWT_18_27m	WD_PTWT_16m_vs_WD_PTWT_6m	WD-PTWT_18_27m_vs_WD-PTKO_18_27m	CD_PTWT_16m_vs_WD_PTWT_16m	WD-PTWT_18_27m_vs_CD-PTWT_18_27m	WD_PTWT_18_27m_vs_WD_PTWT_6m	WD-PTKO_18_27m_vs_CD-PTKO_18_27m
ENSMUSG00000021950	0.9802719999999999	-0.77194	1.0907	-1.1235700000000002	2.85615	2.17772	-0.438482	0.671654	0.746182	2.85615	2.81943	1.19594
ENSMUSG00000021998	1.32019	-0.262349	0.35878499999999997	0.0658585	0.116326	0.815623	0.293514	-0.709159	-0.207069	0.116326	0.537297	-0.501793
ENSMUSG00000022014	1.2576	0.383945	-0.11253599999999998	0.74107	0.685439	1.03403	0.0691563	-0.35954400000000003	0.190512	0.685439	1.30998	-0.221782
ENSMUSG00000022018	1.07266	-0.223998	-0.13509100000000002	-0.022934599999999996	0.731853	2.08375	0.14186600000000002	-1.36178	-0.5106539999999999	0.731853	0.570371	1.01842
ENSMUSG00000022126	2.75427	0.013643200000000001	17.5747	2.6434	-0.856136	4.91449	19.4439	-5.77925	-2.71406	-0.856136	22.5162	2.16493
ENSMUSG00000022146	0.814951	-0.00705361	-0.681848	1.22435	0.415235	1.7999	-0.383076	-1.3933	-0.316064	0.415235	0.953693	0.986974
ENSMUSG00000022181	1.7463	-1.2949899999999999	0.8751690000000001	0.727742	1.45187	1.7260900000000001	1.24254	-0.283738	-1.67124	1.45187	3.05124	-0.0184785
ENSMUSG00000022244	-0.459862	-0.48135100000000003	0.622542	-0.773095	-0.778586	-1.52482	-0.0639544	0.735532	0.194853	-0.778586	-0.9328110000000001	-1.0651899999999999
ENSMUSG00000022346	0.903947	0.661894	-0.677175	1.05779	0.781948	1.61869	2.00313	-0.8457049999999999	-2.02798	0.781948	1.1585299999999998	0.71625
ENSMUSG00000022366	-0.400854	0.117273	0.00717625	-0.122847	-0.46042799999999995	-1.0932899999999999	0.126113	0.622208	-0.0117028	-0.46042799999999995	-0.579598	-0.692851
